word,tf,df,tfidf
asp,2350,125,9540.744165258895
consistency,5575,1309,9539.862538414058
neighbor,5624,1329,9538.432298859754
activation,5111,1125,9520.08877188914
literal,2671,206,9509.637964819394
multilabel,2845,257,9499.821397762638
recover,6056,1512,9489.850801917337
fault,3274,400,9483.927821912212
multivariate,6382,1640,9482.077883763919
dependency,6496,1687,9467.905636753216
communication,6749,1782,9466.911814850384
neighborhood,5096,1131,9465.042326647046
clinical,3994,679,9456.129473121928
surrogate,3581,517,9454.42011106575
latent-variable,4094,722,9441.499825109633
pool,4899,1055,9439.926336344248
active-learning,3211,386,9415.832048890506
depth,5057,1129,9401.556223043208
device,4584,933,9396.2816900656
functional,6182,1591,9372.44886415075
predicate,3192,386,9360.117066352692
universal,5175,1189,9352.968844404946
route,3534,516,9337.174706510206
upper-bind,5918,1507,9293.205085799224
relational,3568,536,9291.324294650898
sign,6649,1797,9270.906717080561
default,5501,1346,9259.901299238172
precision,5790,1472,9228.261642842304
nonconvex,4141,783,9214.023878597332
generator,3762,629,9194.604938706738
audio,3968,716,9184.034027433689
web,5754,1471,9174.794146011527
encoder,3401,490,9161.61203267154
visual,6020,1586,9145.791504946581
margin,4907,1125,9140.104794298575
chain,4869,1109,9139.068614705568
social,5279,1286,9126.93155098472
music,3410,500,9116.964996041954
stability,4958,1156,9100.328790580144
eigenlocus,1109,2,9088.31897920264
dag,2496,192,9062.250910570394
asymptotic,4478,962,9041.934704294557
compression,3657,618,9002.496925988244
url,4330,907,8998.010284401706
unsupervised,5754,1517,8997.615489180745
oracle,3679,628,8997.600449646525
boundary,5198,1284,8994.979874692193
rbm,2400,171,8991.699155885672
proof-theorem,5089,1239,8987.911853223904
singular,4286,891,8982.857862916337
parent,3788,677,8979.581271279927
quadratic,5477,1410,8965.081607029542
trace,4940,1181,8961.594992972841
sequential,6350,1767,8960.906634509322
greedy,4815,1127,8960.187070954411
fuzzy-set,2821,303,8955.185698032688
news,3479,553,8950.934260495822
lower-bind,5046,1232,8940.556930266419
community,6120,1689,8912.635282441
answer,6077,1678,8889.721124368172
mobile,4027,802,8863.814653470921
validation,6209,1748,8829.057150322315
survival,2787,305,8828.918055340291
markov,4266,915,8827.551919161753
smooth,6059,1691,8816.629777169483
lowrank,3432,557,8805.275215403199
factorization,4070,835,8794.346706678962
stock,2951,368,8794.339825127256
content,4937,1223,8783.627686485877
minimization,6254,1780,8779.591770968249
benchmark,6184,1755,8768.792868672468
bayes,4713,1130,8757.847226295324
forest,3289,506,8754.226716929095
health,4303,950,8742.589642160458
snr,2788,316,8733.305890136293
graphical-model,3777,719,8726.167451373227
visualization,4609,1093,8718.031273530532
runtime,3861,758,8716.290456722645
period,5299,1402,8703.87141065672
inf,4501,1049,8698.687796027323
time-step,4384,997,8695.46278094612
cancer,3406,565,8689.997351891028
forecast,3234,494,8685.4546916998
privacy,3183,477,8659.951115343747
mass,4267,955,8647.047896667305
eigenvector,3620,670,8618.956315833439
covariate,3316,546,8573.80283017475
derivative,5406,1484,8572.33986841593
matching,4157,925,8556.815083799378
emotion,2630,280,8556.482155591582
drift,2594,270,8533.696874912544
iid,5037,1336,8516.406058934419
convergence-baseline,1131,4,8484.660787189034
segmentation,3812,783,8481.975132869606
cos,3170,503,8456.338603296248
bayesian-network,3173,506,8445.473205477658
sensitivity,4713,1209,8439.361826220003
video,4422,1077,8429.52679918856
pairwise,4689,1203,8419.714488047332
resource,5851,1720,8414.471139939662
market,3486,650,8405.556524858774
file,3887,834,8403.583100377224
inverse,6036,1802,8399.410487318759
budget,3090,480,8387.553991739034
evidence,5899,1751,8378.128718558939
trial,4746,1241,8374.469281344473
bit,4319,1043,8371.726810665907
diag,4028,909,8361.563182873946
road,3213,537,8360.890374328006
aggregation,3744,777,8359.470366951133
structural,5161,1435,8357.128559971576
motion,3567,696,8356.96453806719
security,3788,798,8356.69268593175
movement,3682,750,8351.260790252622
demand,4867,1303,8350.702692504974
body,4344,1062,8341.764388973234
corpus,3435,648,8293.169191477939
child,3748,794,8287.283045459159
sec,5500,1609,8276.601984544515
experience,5557,1637,8266.505922224163
propagation,4516,1162,8265.666114138938
multiview,2326,208,8258.850957619117
ground,3809,829,8257.853784461842
ieee-trans,5204,1483,8255.53468256614
error-rate,3711,789,8228.914461310549
fitness,2844,403,8217.079072241717
logic-program,2129,155,8185.536097406667
iff,3099,518,8175.873620876977
diversity,3779,833,8174.624075480031
nonparametric,4666,1259,8166.1151533582115
notion,5865,1802,8161.455021226726
logistic-regression,4122,1001,8159.293279800264
regularize,5004,1422,8148.439846503549
statement,5279,1550,8141.245618278794
cycle,3976,939,8124.516223573117
decoder,2866,426,8121.57199518208
stream,3685,801,8115.637361364854
movie,2777,392,8100.3507989324835
subgraph,2663,347,8092.53768368624
geometric,4394,1149,8091.804066305936
relu,3657,795,8081.468101620127
initialization,5107,1492,8070.755987160553
soft,4767,1334,8067.039863617054
false,4739,1321,8066.065026694053
failure,4143,1035,8062.477550725256
string,3292,629,8045.890339772083
topology,3581,771,8023.289578950154
proximal,2792,410,8018.75721122462
conflict,3310,645,8006.739575922117
loop,4320,1137,8000.8835516833815
head,3477,728,7989.811593469236
cut,3535,759,7975.677937499952
hash,2385,256,7973.120413336473
discovery,5438,1675,7964.692891091063
alignment,3094,554,7954.798331485744
physical,5506,1709,7953.643782996911
latexit,1310,17,7932.038900892437
pixel,3967,984,7920.428791455785
test-set,5353,1651,7917.453292594291
nmi,1883,109,7902.681710712331
weak,4511,1257,7902.016421183001
hmm,2544,325,7897.541929134725
bicluster,1439,30,7895.803777811935
bag,3080,559,7891.130626763764
gap,5257,1620,7875.109241052713
feature-vector,4256,1141,7867.405483899583
log2,2842,457,7853.928047753844
win,3511,777,7839.236233537774
pdf,2785,436,7827.416919275177
shift,4957,1494,7827.065851063522
admm,2134,186,7815.685793981046
deterministic,4856,1450,7812.7505910121945
int,4184,1129,7778.546813765628
crossvalidation,4452,1268,7759.874894710355
adversary,2253,233,7743.935939504643
identification,5494,1771,7740.525353795007
color,4825,1459,7733.019408148043
nonzero,5220,1654,7711.260638448635
token,2398,291,7709.286087071905
symmetric,5038,1570,7704.986076541625
shape,5137,1623,7685.842262341996
owl,1877,121,7681.461689635994
learning-rate,4634,1382,7678.157396268406
walk,2922,526,7664.124490771987
station,2469,327,7649.566165677132
mutual-information,2891,514,7649.532822945587
conf,3879,1014,7628.2346000518055
person,3733,941,7620.030045069378
rough-set,1913,135,7619.345267940743
mcmc,2489,340,7614.496282819746
classification-accuracy,3631,890,7614.146757094408
equilibrium,2475,338,7586.268465530709
spectrum,3564,863,7583.444202844364
temperature,3024,591,7579.319894643947
probability-distribution,5326,1748,7573.4511809658
multiagent,2627,406,7570.624447038593
hierarchy,3486,827,7566.01501503962
monte-carlo,3744,961,7563.74285154283
maximal,4233,1215,7558.891447875021
sleep,2048,181,7556.521656707475
convergence-rate,3201,684,7555.150499217743
transportation,2727,454,7554.08362539909
activation-function,3840,1014,7551.539279246954
prototype,2755,470,7536.225846948781
static,3698,948,7521.1786653016015
moment,4111,1163,7520.855461547369
ball,3231,708,7514.53307294677
evolution,4546,1388,7512.654730345088
controller,2556,385,7501.7616889994615
orthogonal,4021,1124,7493.358036666574
lim,3915,1070,7488.576545756362
categorical,3479,847,7467.688031097526
overlap,4723,1493,7460.743975104476
recurrent-neural,3677,953,7459.125311603617
multiclass,3257,734,7457.539360131532
discriminator,2023,182,7453.132926997154
history,4243,1256,7435.931856143246
forward,5244,1760,7420.972048269295
clustering-algorithm,3054,640,7411.253866839385
claim,4706,1501,7408.7406954002645
random-walk,2506,379,7394.3756779297255
ann,3529,893,7388.37894745161
building,4960,1634,7387.516236333969
stack,3798,1036,7387.423139917987
spectral-clustering,2372,322,7385.585689059977
cloud,2940,589,7378.749342142101
argumentation,1694,94,7360.277691079422
highdimensional,4867,1600,7351.3405030265385
behaviour,3747,1020,7346.544178517117
profile,3578,932,7338.020219121026
dissimilarity,2527,398,7332.729492813068
surface,3539,914,7327.054647703088
proportion,4049,1190,7314.503459379913
hyperplane,2764,514,7313.493158983606
simulated,4399,1384,7282.420163485317
relevance,3686,1007,7274.225085622592
indicator,5027,1712,7252.891831265015
unlabeled,2790,539,7249.7851485234105
incremental,3347,831,7248.179781378775
membership,3131,716,7246.776849771894
association,4927,1670,7230.993134699881
package,3835,1101,7226.024867698534
optimal-solution,3706,1032,7222.812129582485
dependence,4412,1410,7221.825826221351
hidden,4181,1292,7209.123480317259
acoustic,3254,794,7194.989068816463
sound,3246,790,7193.694071776379
vae,1740,117,7179.293829783644
semisupervised,2964,643,7178.986276352383
root,4844,1649,7170.478978849433
poisson,2424,379,7152.420847287173
digit,3124,735,7148.756578884589
people,4167,1304,7146.459708411424
discover,4996,1735,7141.493126654019
regularizer,2763,547,7138.918018738293
adaptation,3832,1125,7137.738245720835
logic-programming,2114,248,7134.276728863145
stable,5003,1743,7128.483655152812
quantile,2252,306,7126.723720919949
feature-space,3896,1165,7120.830257253543
capacity,3824,1127,7116.044726755901
raw,4165,1313,7114.382263139023
timeseries,2649,495,7108.981191439893
allocation,2954,658,7086.64582314315
graph-signal,1646,98,7083.128748523205
mlp,2419,388,7080.895667501001
robustness,4348,1422,7080.219115227304
offline,2936,651,7074.865193067586
decoration,1039,8,7074.305099636419
preserve,4710,1616,7067.334428481455
lattice,2190,288,7063.285216988778
composition,3332,870,7062.879250474902
sentiment,2166,278,7062.424419317659
visit,3394,906,7056.687929008474
resolution,3639,1043,7053.649887477016
glue,1356,40,7050.285265914513
minimax,2637,500,7050.274690487575
coverage,2606,485,7046.769885228708
svrg,1410,49,7044.9022484155985
stationary,3170,788,7033.3004976629445
lipschitz,2713,546,7014.694535061549
permutation,3120,766,7010.7108293490255
optimality,3584,1025,7009.4330158989305
gradient-descent,3988,1250,7008.136492140799
merge,3392,918,7007.897374990733
recurrent,3201,812,7006.043204669995
gate,2988,696,7000.451370828361
skill,2525,454,6994.521875369528
hour,3764,1133,6984.405417647289
panel,2726,559,6984.163015765591
stochastic-gradient,3569,1026,6976.6164073900545
svd,2543,467,6972.589685858116
dimensionality,4733,1662,6969.001231955564
synthetic,3716,1111,6968.202628025998
leaf,2566,480,6965.198557541218
hessian,2460,428,6959.540922648135
concentration,3070,751,6959.073604451026
occurrence-pattern,1252,28,6956.1124523223325
pvalue,2625,512,6955.935646840726
minibatch,2878,647,6952.840984473963
supervised,4194,1381,6952.149365483794
number-cluster,2710,558,6948.022413589759
job,2476,438,6947.6212396305555
delay,3125,786,6941.400246955674
spike,2140,283,6939.50206395722
internal,4392,1494,6934.935085307845
independence,3504,1003,6928.999108559777
diagonal,4227,1408,6925.006747933446
qlearning,2174,302,6908.489054770253
schema,2151,293,6900.477396504041
show-fig,4551,1591,6899.711223026539
card,2429,425,6888.925041446841
span,3900,1240,6884.819030138166
malware,1633,107,6883.709068409758
horizon,2722,578,6882.93358957436
subsection,4396,1515,6879.890138836788
embed,4197,1407,6878.840250787638
seed,2689,562,6874.974424978421
patch,2245,339,6874.649695347415
propose-algorithm,4186,1408,6857.837295209228
net,3787,1185,6857.14671933349
arg-min,3532,1040,6856.420401756842
city,2929,699,6849.62504448893
ground-truth,3437,988,6848.298711031491
smart,2905,688,6839.578577380477
aggregate,3820,1210,6837.14766954138
majority,4407,1537,6833.569682727692
percentage,4421,1546,6829.466377642144
angle,3204,860,6828.597032992731
discriminative,3251,889,6820.947924444574
evolutionary,2884,684,6806.9522148528495
mae,1897,202,6791.140819180092
median,3309,932,6786.335635850049
cca,1561,94,6782.404649217815
integer,4628,1675,6778.33738506242
assessment,3731,1179,6774.686264493758
heart,2655,565,6773.911617519284
encoding,2889,695,6772.662551796876
library,4279,1490,6767.9807888939
branch,3090,813,6759.293924293284
diagram,3148,848,6753.480693867499
duration,2909,712,6749.2493267652235
magnitude,3729,1187,6745.837358156326
nearest-neighbor,3158,857,6741.594037123173
actor,2167,323,6740.567372019537
proof-lemma,3046,794,6735.075815493223
gibbs,2268,372,6734.397386968494
tweet,1658,125,6731.299500425212
principal-component,3308,950,6721.005469734323
uniformly,4803,1789,6718.401760506095
centroid,2402,444,6707.29750227276
execution,2986,770,6694.057668829378
nonnegative,3968,1342,6691.192981968033
linguistic,2340,417,6680.977640195558
option,3854,1282,6675.236813737365
elm,1479,81,6646.264705121442
minimizer,2643,587,6642.334876449965
equivalence,3242,934,6641.977580519276
drive,4213,1499,6638.219235933766
feasible,4296,1548,6630.815071143784
click,2118,317,6627.863960669658
sat,1664,135,6627.595674779611
topic-model,1942,240,6617.493071235506
quantum,1913,230,6600.090201123386
stepsize,2086,307,6594.590960388284
cost-function,3067,847,6583.328310254703
imputation,1813,192,6582.476322461588
depict,4365,1604,6582.1977474196765
exponential,4356,1604,6568.626205672419
server,2918,763,6568.26287961771
convolutional,2841,720,6559.7373464830225
water,2313,426,6554.499659754414
session,2281,410,6551.140830516962
mixed,3211,942,6551.080905577376
annotation,2578,571,6550.222776117854
transfer-learning,2315,428,6549.324079646518
naive,3294,995,6540.1122703724395
execute,3703,1239,6540.034897325234
mod,3839,1321,6534.210516454626
max-max,3155,914,6532.030916502754
step-size,2749,675,6524.7300044212725
integral,3069,865,6523.083893721526
markov-chain,2755,679,6522.69321443438
contextual,2441,501,6521.372598473556
linear-regression,3021,838,6516.861235109251
structured,3655,1220,6511.743371774818
run-time,3274,995,6500.403027686511
dimensionality-reduction,2953,802,6499.837266376864
boolean,2457,516,6491.63504637679
material,3438,1097,6490.498473636126
light,3978,1418,6488.922209835814
autonomous,2809,722,6478.05886876721
nus,2319,447,6459.913715995331
correlate,4262,1592,6458.884148526058
det,2068,319,6458.392473609928
avg,2239,406,6452.465982839516
law,3329,1046,6443.2003591175835
datum-mining,4578,1777,6434.4844922290995
statistic,2648,639,6430.139504421188
bin,2653,642,6429.854754280708
detector,2412,504,6429.496191361373
loglikelihood,2746,698,6425.600920830017
model-selection,3085,903,6424.457951147344
separation,3117,925,6416.067504499077
intervention,2446,527,6410.976573846813
member,4320,1644,6407.930718024037
translation,3132,937,6406.573617426392
axis,3370,1083,6405.408284410088
weighting,3097,916,6405.179805500424
financial,2759,711,6405.1080065172655
anomalous,1783,200,6400.769421249155
laplacian,2392,500,6395.2434810945315
capability,4535,1770,6391.946658098215
mask,2156,375,6384.517190864823
xij,2052,323,6382.853828972815
force,4193,1583,6378.088913929825
blue,4172,1574,6369.932434016856
bengio,4383,1697,6362.308478065751
concept-drift,1588,132,6360.5798828034185
cardinality,3206,997,6358.953849387149
multitask,2183,394,6356.577199388924
wind,1872,243,6355.708497430295
free,4348,1682,6350.106302449419
occurrence,3193,994,6342.791253701446
sin,2691,688,6335.733546206838
realtime,3289,1056,6334.487068244015
business,3733,1328,6334.063096115796
dense,3295,1060,6333.585354929658
conventional,3643,1274,6332.583312681375
formal,3750,1340,6329.174919412745
scheduling,2144,379,6326.233620702846
imaging,2844,784,6324.475400541524
labeling,2486,570,6320.825317417297
china,3512,1199,6317.953548093409
platform,3270,1050,6316.526330552292
knowledge-base,2367,503,6314.243998107956
minv,1161,32,6295.486472608798
def,2130,378,6290.551739529476
generative-model,2718,717,6287.084705864983
strength,3718,1337,6283.4991724047495
age,3963,1486,6278.825203800711
letter,4512,1803,6276.181388911694
cumulative,3129,979,6263.235533304798
heterogeneous,3126,978,6260.4251996395615
state-space,2482,582,6258.944839681937
infinite,3669,1318,6253.202019804339
identity,4474,1792,6250.702701414737
intersection,2854,812,6246.562732311205
upper,4178,1625,6245.866743015769
class-label,3067,949,6234.585555415905
car,2684,712,6227.220760755538
external,3212,1044,6222.897010875952
sketch,2537,629,6200.614760632374
online-learning,2856,830,6188.321311417467
app,1841,252,6183.506218240166
wavelet,2271,476,6183.449316114801
peak,2676,720,6178.75999267461
domain-adaptation,1674,181,6176.570924476715
copy,3186,1045,6169.47460468077
optimum,3272,1100,6168.17615825153
induction,2955,899,6166.854028285954
mixture-model,2258,473,6162.329212530657
international-journal,4122,1627,6157.079892180729
qualitative,2636,701,6156.897250932259
eigenenergy,750,2,6146.293268171307
leverage,3788,1432,6141.778060663627
site,2455,596,6132.502121776647
restriction,3404,1196,6132.193453358893
representative,3748,1413,6126.984863911815
screening,1824,252,6126.4070299131245
proposal,2790,807,6123.718556886356
optimal-policy,2022,351,6121.440506234075
softmax,2838,840,6115.3308561549275
regime,2462,605,6113.087929850333
reward-function,2000,343,6100.948848578165
rdf,1399,93,6093.491924244171
valid,4171,1684,6086.647189318622
natural-language,3261,1121,6085.770970176515
attacker,1549,143,6080.383013611234
additive,3078,1006,6077.41102900805
character,2858,865,6074.608591807143
absolute,4166,1686,6074.405993233162
learn-algorithm,4132,1669,6066.7054842814505
dtw,1401,96,6057.723208662049
fmeasure,1719,214,6054.711404208621
union,3502,1287,6051.931094833853
monitoring,2552,677,6049.601743481091
box,3053,1000,6046.3126058197195
parametric,3233,1119,6039.289789441634
descent,3211,1106,6035.715702575876
misclassification,2258,501,6032.470023495816
neutrosophic,1022,20,6022.106995054854
strictly,3549,1328,6021.856396494765
track,3523,1313,6017.759594967293
iterate,3003,981,6004.896132904648
auxiliary,2716,797,5995.163123277617
geometry,2721,802,5989.182933224331
recommender-system,2053,392,5988.484044007342
zhou,4002,1623,5987.685562369606
pick,3646,1405,5980.9432081994455
tuning,3378,1235,5976.960986443368
invariant,3033,1010,5976.524260492603
beta,2035,385,5972.646728135331
expansion,2921,943,5956.323817947792
splitting,2700,799,5953.078599359619
scene,2370,589,5948.175490094143
convolutional-neural,2909,938,5947.319369403553
tag,2145,453,5946.610840109915
display,3612,1399,5940.627131203823
engine,2679,790,5937.124589737807
csp,1310,78,5936.259818642715
mix,3041,1031,5929.707898199148
width,2802,875,5923.374720242938
tradeoff,4202,1771,5920.2197918905385
abstraction,2284,543,5918.062239674163
credit,2374,600,5914.287363351092
normalization,3681,1454,5912.168996383894
cov,1958,354,5911.021782393004
matrix-completion,1738,242,5907.926298528508
interface,2987,1004,5903.678765184401
description-automaton,720,2,5900.441537444455
typical-variable,720,2,5900.441537444455
equality,3410,1286,5895.5932163019315
bottom,3890,1592,5895.1335846472
reject,2452,655,5893.552747030078
nonnegative-matrix,1900,326,5892.4842311677985
maxv,1109,36,5882.896699695794
velocity,2048,410,5881.953713677658
overfitting,3890,1599,5878.066807035956
relaxation,2487,682,5877.216756251951
training-sample,2923,973,5868.860167033338
hinton,3560,1398,5857.648737234111
extraction,2951,996,5856.134418531622
company,2804,898,5854.849588040515
consequence,4154,1773,5847.903852591904
multiarmed-bandit,1726,245,5845.86993673117
penalize,3005,1039,5836.2835954691645
production,2480,689,5835.349729094583
radius,2591,763,5832.203262881935
interpretability,2277,561,5825.667990427907
firstorder,2516,716,5823.344156507853
ecg,1462,135,5823.043795990259
evolve,3123,1125,5817.107656937936
extreme,3475,1359,5816.109089130979
logical,2808,917,5804.40949694955
sort,3527,1399,5800.828319976713
speech-recognition,2518,724,5799.995140296513
bandwidth,2115,467,5799.066923157655
empty,3237,1208,5799.032066712369
sample-complexity,1821,301,5792.773278811894
slot,1609,198,5792.299985783624
locus,1274,77,5789.564898792106
circle,2941,1015,5780.714842118636
triangle,2482,706,5779.559471493139
exhibit,4016,1719,5777.846774145848
integration,3319,1272,5774.592444354896
crf,1357,103,5771.96677353685
pruning,2185,517,5768.753963328306
wireless,2038,429,5760.912327250037
accept,3356,1302,5760.73525139192
semisupervised-learning,2074,451,5758.953641269162
phone,2069,448,5758.878681173837
alternate,3054,1106,5740.602851344355
ideal,3007,1077,5732.154474255993
realization,2696,866,5727.166619958415
dirichlet,2010,420,5724.3798219569935
david,3547,1444,5721.4264619519845
base-classifier,1807,308,5706.6958948859765
slice,1858,336,5706.092115951798
dialogue,1456,144,5705.178128655856
decay,2826,963,5703.296024990391
consensus,2060,455,5701.889352158389
logistic,2502,743,5698.327084496634
schedule,2029,437,5697.983231333288
computational-complexity,3303,1293,5692.669279332495
belief-function,1338,103,5691.150731755568
scaling,3032,1110,5688.303597914685
gmm,1679,245,5686.683443668386
covariance-function,1568,193,5684.807022238614
proper,3924,1703,5682.18034066912
request,2626,833,5680.48764811076
search-space,2416,693,5670.774491392528
posterior-distribution,2335,639,5670.081473875934
supp,1592,206,5668.043294643383
balanced,2449,718,5661.43975559425
reservoir,1324,101,5657.563685508622
genetic,2390,681,5651.495731080169
transducer,1102,43,5649.959240849129
black,3153,1208,5648.547453303707
algebra,2595,822,5647.925316254997
variables,1661,242,5646.182728340536
modelling,3018,1116,5645.768762654547
model-parameter,3082,1162,5641.005970721038
swarm,1647,236,5639.942440409242
transport,1934,393,5636.440432038862
teacher,1670,249,5629.155798233826
primal,1856,350,5624.184306699221
motif,1334,107,5623.311633348817
act,3904,1719,5616.711605145765
fold,2631,857,5616.571852967406
origin,2575,820,5610.668867831563
truth,2090,495,5608.822457572434
analytic,2738,935,5606.4885408514265
scalable,3438,1420,5603.227374315704
triple,1912,387,5601.73970114906
symbolic,2095,500,5601.18523950378
fig-show,3177,1243,5600.802494883077
fraction,3147,1223,5598.962189461425
alg,1594,217,5592.242183555813
min-min,2406,710,5588.993402815706
balance,3645,1564,5588.524754024897
bernoulli,2474,757,5588.374162975478
specification,2674,897,5586.384451125509
draft,1651,246,5585.123876947911
retrieval,2456,746,5583.665090193098
team,2406,715,5572.109122999002
target-domain,1334,112,5562.387804213344
perception,2256,617,5557.285672071976
fall,3846,1710,5553.455629651688
ieee-transactions,1407,140,5552.813365525926
